clock,se,mean,votes_count,blockchain_size_kB,difficulty,actual,predicted,error,absError,consWhite
404,91254,5540534,771,2316,0.79,0.44,0.4459466,-0.00594659999999997,0.00594659999999997,TRUE
487,88222,5312174,885,2884,0.85,0.46,0.4687826,-0.00878260000000003,0.00878260000000003,TRUE
410,88704,5098951,773,2384,0.92,0.48,0.4901049,-0.0101049,0.0101049,TRUE
404,87702,6563311,790,2148,0.52,0.34,0.3436689,-0.00366890000000003,0.00366890000000003,TRUE
410,90061,6540135,758,3064,0.56,0.36,0.3459865,0.0140135,0.0140135,TRUE
432,98340,6275056,694,1728,0.61,0.38,0.3724944,0.0075056,0.0075056,TRUE
463,93843,5993794,788,2928,0.67,0.4,0.4006206,-0.000620599999999971,0.000620599999999971,TRUE
485,89594,5923437,865,3976,0.72,0.42,0.4076563,0.0123437,0.0123437,TRUE
444,89626,5524511,822,2704,0.79,0.44,0.4475489,-0.00754890000000003,0.00754890000000003,TRUE
477,87196,5313586,831,2772,0.85,0.46,0.4686414,-0.00864139999999997,0.00864139999999997,TRUE
394,93164,5253864,773,2188,0.92,0.48,0.4746136,0.00538640000000001,0.00538640000000001,TRUE
384,93962,6662828,636,2180,0.52,0.34,0.3337172,0.00628279999999998,0.00628279999999998,TRUE
385,89323,6327948,742,1808,0.56,0.36,0.3672052,-0.00720520000000002,0.00720520000000002,TRUE
366,92669,6170951,669,1972,0.61,0.38,0.3829049,-0.00290489999999999,0.00290489999999999,TRUE
430,94670,5849337,853,2552,0.67,0.4,0.4150663,-0.0150663,0.0150663,TRUE
449,88311,5860365,853,2184,0.72,0.42,0.4139635,0.00603649999999994,0.00603649999999994,TRUE
413,92113,5676854,729,2044,0.79,0.44,0.4323146,0.00768540000000001,0.00768540000000001,TRUE
464,88661,5363111,767,2232,0.85,0.46,0.4636889,-0.00368889999999994,0.00368889999999994,TRUE
